sale_id,sale_date,year,month,store_name,location,store_type,product_name,category,quantity,unit_price,discount_amount,total_sales,cost_price,gross_profit,payment_method
SALE-100080,2023-12-23,2023,12,Justrite Akowonjo,Akowonjo,Supermarket,GlowCare Face Cream,Skin Care,10,5200,0,52000,3600,16000,Cash
SALE-100081,2025-03-12,2025,3,Shoprite The Palms,Lekki,Supermarket,GlowCare Face Cream,Skin Care,10,5200,500,51500,3600,15500,POS
SALE-100082,2025-02-07,2025,2,Justrite Ipaja Ayobo,Ipaja,Supermarket,GlowCare Body Scrub,Body Care,13,4200,1000,53600,3000,14600,Transfer
SALE-100083,2023-09-15,2023,9,Shoprite Ikeja City Mall,Ikeja,Supermarket,GlowCare Facial Cleanser,Skin Care,11,4800,1000,51800,3300,15500,POS
SALE-100084,2024-01-15,2024,1,Shoprite Ikeja City Mall,Ikeja,Supermarket,GlowCare Body Lotion,Body Care,13,4500,500,58000,3200,16400,Transfer
SALE-100085,2025-12-02,2025,12,GrandSquare Ikeja,Ikeja,Supermarket,GlowCare Body Scrub,Body Care,13,4200,1000,53600,3000,14600,Transfer
SALE-100086,2024-05-13,2024,5,Shoprite Adeniran Ogunsanya,Surulere,Supermarket,GlowCare Shower Gel,Bath Care,7,3800,0,26600,2600,8400,POS
SALE-100087,2025-02-14,2025,2,Bokku Mart Agege,Agege,Retail/Wholesale,GlowCare Face Cream,Skin Care,10,5200,0,52000,3600,16000,POS
SALE-100088,2024-02-22,2024,2,Shoprite Festival Mall,Festac,Supermarket,GlowCare Body Lotion,Body Care,7,4500,1000,30500,3200,8100,POS
SALE-100089,2024-02-17,2024,2,Justrite Ipaja Ayobo,Ipaja,Supermarket,GlowCare Facial Cleanser,Skin Care,9,4800,0,43200,3300,13500,Cash
SALE-100090,2025-01-30,2025,1,Shoprite The Palms,Lekki,Supermarket,GlowCare Face Cream,Skin Care,5,5200,0,26000,3600,8000,Transfer
SALE-100091,2025-09-04,2025,9,Shoprite Ikeja City Mall,Ikeja,Supermarket,GlowCare Body Scrub,Body Care,12,4200,0,50400,3000,14400,Transfer
SALE-100092,2023-10-06,2023,10,Jendol Egbeda,Egbeda,Superstore,GlowCare Shower Gel,Bath Care,9,3800,0,34200,2600,10800,Cash
SALE-100093,2023-03-03,2023,3,Shoprite The Palms,Lekki,Supermarket,GlowCare Body Lotion,Body Care,6,4500,0,27000,3200,7800,Transfer
SALE-100094,2025-11-08,2025,11,Shoprite Ikeja City Mall,Ikeja,Supermarket,GlowCare Facial Cleanser,Skin Care,12,4800,0,57600,3300,18000,Cash
SALE-100095,2023-03-17,2023,3,Jendol Egbeda,Egbeda,Superstore,GlowCare Facial Cleanser,Skin Care,14,4800,500,66700,3300,20500,Transfer
SALE-100096,2023-05-24,2023,5,Justrite Abule Egba,Abule Egba,Supermarket,GlowCare Body Scrub,Body Care,3,4200,1000,11600,3000,2600,Cash
SALE-100097,2025-08-05,2025,8,Jendol Ikorodu,Ikorodu,Superstore,GlowCare Body Scrub,Body Care,4,4200,0,16800,3000,4800,Transfer
SALE-100098,2024-07-22,2024,7,Justrite Akowonjo,Akowonjo,Supermarket,GlowCare Body Scrub,Body Care,5,4200,0,21000,3000,6000,POS
SALE-100099,2025-07-23,2025,7,Jendol Alakuko,Alakuko,Superstore,GlowCare Body Scrub,Body Care,3,4200,500,12100,3000,3100,Cash
SALE-100100,2023-08-23,2023,8,Jendol Ikorodu,Ikorodu,Superstore,GlowCare Face Cream,Skin Care,12,5200,0,62400,3600,19200,POS
SALE-100101,2025-08-11,2025,8,GrandSquare Ikeja,Ikeja,Supermarket,GlowCare Body Lotion,Body Care,13,4500,0,58500,3200,16900,Transfer
SALE-100102,2023-06-19,2023,6,Jendol Egbeda,Egbeda,Superstore,GlowCare Face Cream,Skin Care,11,5200,0,57200,3600,17600,POS
SALE-100103,2023-01-29,2023,1,Justrite Abule Egba,Abule Egba,Supermarket,GlowCare Shower Gel,Bath Care,8,3800,1000,29400,2600,8600,Cash
SALE-100104,2024-05-14,2024,5,Shoprite Ikeja City Mall,Ikeja,Supermarket,GlowCare Body Lotion,Body Care,13,4500,1000,57500,3200,15900,POS
SALE-100105,2024-03-20,2024,3,GrandSquare Ikeja,Ikeja,Supermarket,GlowCare Shower Gel,Bath Care,10,3800,0,38000,2600,12000,Transfer
SALE-100106,2023-02-08,2023,2,Shoprite Festival Mall,Festac,Supermarket,GlowCare Body Scrub,Body Care,13,4200,0,54600,3000,15600,POS
SALE-100107,2025-12-17,2025,12,Shoprite The Palms,Lekki,Supermarket,GlowCare Facial Cleanser,Skin Care,8,4800,0,38400,3300,12000,Transfer
SALE-100108,2025-10-21,2025,10,Shoprite Festival Mall,Festac,Supermarket,GlowCare Body Scrub,Body Care,12,4200,0,50400,3000,14400,Cash
SALE-100109,2025-04-03,2025,4,Shoprite Ikeja City Mall,Ikeja,Supermarket,GlowCare Body Scrub,Body Care,6,4200,0,25200,3000,7200,Cash
SALE-100110,2024-11-02,2024,11,Bokku Mart Agege,Agege,Retail/Wholesale,GlowCare Body Scrub,Body Care,5,4200,1000,20000,3000,5000,POS
SALE-100111,2023-07-22,2023,7,GrandSquare Ikeja,Ikeja,Supermarket,GlowCare Body Scrub,Body Care,4,4200,500,16300,3000,4300,Transfer
SALE-100112,2023-02-16,2023,2,Jendol Egbeda,Egbeda,Superstore,GlowCare Body Lotion,Body Care,14,4500,500,62500,3200,17700,Transfer
SALE-100113,2024-10-17,2024,10,Justrite Akowonjo,Akowonjo,Supermarket,GlowCare Body Lotion,Body Care,11,4500,1000,48500,3200,13300,POS
SALE-100114,2025-01-05,2025,1,Justrite Ipaja Ayobo,Ipaja,Supermarket,GlowCare Facial Cleanser,Skin Care,8,4800,1000,37400,3300,11000,Cash
SALE-100115,2025-10-28,2025,10,Jendol Alakuko,Alakuko,Superstore,GlowCare Facial Cleanser,Skin Care,4,4800,0,19200,3300,6000,POS
SALE-100116,2024-06-23,2024,6,GrandSquare Ikeja,Ikeja,Supermarket,GlowCare Body Scrub,Body Care,9,4200,1000,36800,3000,9800,Transfer
SALE-100117,2024-05-16,2024,5,Shoprite Ikeja City Mall,Ikeja,Supermarket,GlowCare Body Lotion,Body Care,1,4500,0,4500,3200,1300,Cash
SALE-100118,2025-01-01,2025,1,Bokku Mart Agege,Agege,Retail/Wholesale,GlowCare Body Scrub,Body Care,14,4200,500,58300,3000,16300,Cash
SALE-100119,2024-01-25,2024,1,Shoprite Adeniran Ogunsanya,Surulere,Supermarket,GlowCare Shower Gel,Bath Care,5,3800,500,18500,2600,5500,Cash
SALE-100120,2024-03-25,2024,3,Jendol Alakuko,Alakuko,Superstore,GlowCare Face Cream,Skin Care,11,5200,0,57200,3600,17600,Cash
SALE-100121,2025-10-12,2025,10,Shoprite Ikeja City Mall,Ikeja,Supermarket,GlowCare Body Lotion,Body Care,2,4500,1000,8000,3200,1600,Transfer
SALE-100122,2023-06-26,2023,6,Jendol Ikorodu,Ikorodu,Superstore,GlowCare Body Scrub,Body Care,10,4200,500,41500,3000,11500,Cash
SALE-100123,2025-04-06,2025,4,Jendol Ikorodu,Ikorodu,Superstore,GlowCare Body Lotion,Body Care,13,4500,0,58500,3200,16900,POS
SALE-100124,2023-04-15,2023,4,Shoprite Festival Mall,Festac,Supermarket,GlowCare Body Lotion,Body Care,5,4500,1000,21500,3200,5500,Transfer
SALE-100125,2024-06-01,2024,6,GrandSquare Ikeja,Ikeja,Supermarket,GlowCare Body Lotion,Body Care,5,4500,500,22000,3200,6000,Cash
SALE-100126,2025-02-09,2025,2,Justrite Abule Egba,Abule Egba,Supermarket,GlowCare Body Scrub,Body Care,5,4200,0,21000,3000,6000,POS
SALE-100127,2023-03-24,2023,3,Shoprite Ikeja City Mall,Ikeja,Supermarket,GlowCare Body Scrub,Body Care,14,4200,0,58800,3000,16800,POS
SALE-100128,2023-01-01,2023,1,Shoprite Festival Mall,Festac,Supermarket,GlowCare Body Scrub,Body Care,13,4200,1000,53600,3000,14600,POS
SALE-100129,2024-03-24,2024,3,Shoprite Ikeja City Mall,Ikeja,Supermarket,GlowCare Face Cream,Skin Care,12,5200,500,61900,3600,18700,Transfer
SALE-100130,2023-06-03,2023,6,Jendol Alakuko,Alakuko,Superstore,GlowCare Face Cream,Skin Care,6,5200,0,31200,3600,9600,Transfer
SALE-100131,2023-09-25,2023,9,Shoprite Ikeja City Mall,Ikeja,Supermarket,GlowCare Facial Cleanser,Skin Care,5,4800,0,24000,3300,7500,POS
SALE-100132,2025-02-01,2025,2,Jendol Egbeda,Egbeda,Superstore,GlowCare Body Lotion,Body Care,7,4500,500,31000,3200,8600,Cash
SALE-100133,2025-05-02,2025,5,Shoprite Adeniran Ogunsanya,Surulere,Supermarket,GlowCare Shower Gel,Bath Care,3,3800,500,10900,2600,3100,POS
SALE-100134,2025-02-02,2025,2,Shoprite Adeniran Ogunsanya,Surulere,Supermarket,GlowCare Face Cream,Skin Care,2,5200,0,10400,3600,3200,POS
SALE-100135,2025-05-08,2025,5,Shoprite Festival Mall,Festac,Supermarket,GlowCare Face Cream,Skin Care,4,5200,0,20800,3600,6400,POS
SALE-100136,2025-09-10,2025,9,GrandSquare Ikeja,Ikeja,Supermarket,GlowCare Face Cream,Skin Care,3,5200,0,15600,3600,4800,Cash
SALE-100137,2025-03-07,2025,3,Shoprite The Palms,Lekki,Supermarket,GlowCare Face Cream,Skin Care,8,5200,0,41600,3600,12800,POS
SALE-100138,2025-02-23,2025,2,GrandSquare Ikeja,Ikeja,Supermarket,GlowCare Facial Cleanser,Skin Care,8,4800,0,38400,3300,12000,POS
SALE-100139,2023-02-22,2023,2,Shoprite Adeniran Ogunsanya,Surulere,Supermarket,GlowCare Body Scrub,Body Care,14,4200,500,58300,3000,16300,Transfer
SALE-100140,2023-04-21,2023,4,Jendol Egbeda,Egbeda,Superstore,GlowCare Shower Gel,Bath Care,6,3800,1000,21800,2600,6200,Cash
SALE-100141,2024-10-28,2024,10,Bokku Mart Agege,Agege,Retail/Wholesale,GlowCare Face Cream,Skin Care,13,5200,0,67600,3600,20800,Transfer
SALE-100142,2025-10-25,2025,10,Shoprite Adeniran Ogunsanya,Surulere,Supermarket,GlowCare Facial Cleanser,Skin Care,10,4800,0,48000,3300,15000,POS
SALE-100143,2025-04-17,2025,4,Shoprite Ikeja City Mall,Ikeja,Supermarket,GlowCare Body Scrub,Body Care,9,4200,1000,36800,3000,9800,POS
SALE-100144,2025-12-05,2025,12,Shoprite Adeniran Ogunsanya,Surulere,Supermarket,GlowCare Body Lotion,Body Care,14,4500,0,63000,3200,18200,Cash
SALE-100145,2025-03-04,2025,3,Jendol Egbeda,Egbeda,Superstore,GlowCare Body Lotion,Body Care,6,4500,500,26500,3200,7300,POS
SALE-100146,2023-04-17,2023,4,Bokku Mart Agege,Agege,Retail/Wholesale,GlowCare Body Lotion,Body Care,10,4500,1000,44000,3200,12000,Cash
SALE-100147,2023-01-08,2023,1,Shoprite Ikeja City Mall,Ikeja,Supermarket,GlowCare Shower Gel,Bath Care,13,3800,1000,48400,2600,14600,Transfer
SALE-100148,2023-10-30,2023,10,Justrite Ipaja Ayobo,Ipaja,Supermarket,GlowCare Face Cream,Skin Care,12,5200,500,61900,3600,18700,POS
SALE-100149,2023-12-31,2023,12,Jendol Alakuko,Alakuko,Superstore,GlowCare Shower Gel,Bath Care,8,3800,500,29900,2600,9100,Transfer
SALE-100150,2025-10-23,2025,10,Justrite Akowonjo,Akowonjo,Supermarket,GlowCare Shower Gel,Bath Care,12,3800,0,45600,2600,14400,POS
SALE-100151,2025-03-16,2025,3,Shoprite Festival Mall,Festac,Supermarket,GlowCare Shower Gel,Bath Care,9,3800,500,33700,2600,10300,Cash
SALE-100152,2023-01-28,2023,1,Jendol Alakuko,Alakuko,Superstore,GlowCare Body Lotion,Body Care,1,4500,500,4000,3200,800,POS
SALE-100153,2023-05-06,2023,5,GrandSquare Ikeja,Ikeja,Supermarket,GlowCare Body Lotion,Body Care,1,4500,0,4500,3200,1300,Cash
SALE-100154,2023-03-08,2023,3,Jendol Egbeda,Egbeda,Superstore,GlowCare Body Scrub,Body Care,2,4200,500,7900,3000,1900,Transfer
SALE-100155,2023-02-03,2023,2,Justrite Ipaja Ayobo,Ipaja,Supermarket,GlowCare Body Lotion,Body Care,12,4500,500,53500,3200,15100,POS
SALE-100156,2024-02-29,2024,2,Justrite Abule Egba,Abule Egba,Supermarket,GlowCare Facial Cleanser,Skin Care,10,4800,1000,47000,3300,14000,POS
SALE-100157,2023-11-11,2023,11,Bokku Mart Agege,Agege,Retail/Wholesale,GlowCare Body Scrub,Body Care,9,4200,0,37800,3000,10800,Cash
SALE-100158,2024-10-23,2024,10,Justrite Abule Egba,Abule Egba,Supermarket,GlowCare Facial Cleanser,Skin Care,14,4800,500,66700,3300,20500,POS
SALE-100159,2023-12-16,2023,12,Justrite Ipaja Ayobo,Ipaja,Supermarket,GlowCare Body Lotion,Body Care,7,4500,500,31000,3200,8600,Transfer
SALE-100160,2024-06-26,2024,6,Justrite Ipaja Ayobo,Ipaja,Supermarket,GlowCare Body Scrub,Body Care,4,4200,1000,15800,3000,3800,Transfer
SALE-100161,2023-01-06,2023,1,Shoprite Adeniran Ogunsanya,Surulere,Supermarket,GlowCare Facial Cleanser,Skin Care,12,4800,500,57100,3300,17500,Transfer
SALE-100162,2024-10-07,2024,10,Justrite Ogba,Ogba,Supermarket,GlowCare Body Lotion,Body Care,14,4500,1000,62000,3200,17200,POS
SALE-100163,2025-08-04,2025,8,Jendol Egbeda,Egbeda,Superstore,GlowCare Face Cream,Skin Care,11,5200,1000,56200,3600,16600,POS
SALE-100164,2023-06-22,2023,6,GrandSquare Ikeja,Ikeja,Supermarket,GlowCare Body Scrub,Body Care,6,4200,0,25200,3000,7200,POS
SALE-100165,2025-04-15,2025,4,Shoprite Festival Mall,Festac,Supermarket,GlowCare Facial Cleanser,Skin Care,1,4800,1000,3800,3300,500,Cash
SALE-100166,2023-05-20,2023,5,Shoprite Ikeja City Mall,Ikeja,Supermarket,GlowCare Face Cream,Skin Care,14,5200,1000,71800,3600,21400,POS
SALE-100167,2023-05-19,2023,5,Shoprite The Palms,Lekki,Supermarket,GlowCare Body Scrub,Body Care,11,4200,500,45700,3000,12700,Cash
SALE-100168,2025-06-20,2025,6,Shoprite Adeniran Ogunsanya,Surulere,Supermarket,GlowCare Face Cream,Skin Care,5,5200,500,25500,3600,7500,POS
SALE-100169,2023-06-21,2023,6,Shoprite Adeniran Ogunsanya,Surulere,Supermarket,GlowCare Body Scrub,Body Care,8,4200,0,33600,3000,9600,Cash
